"Algorithm","Accuracy","PValue","Kappa"
"Logistic Regression","0.230769230769231","7.077182675513e-33","0.153836607495794"
"Logistic.Regression","0.230769230769231","7.077182675513e-33","0.153836607495794"
"Classification.with.Bagging","0.57207498383969","0","0.53566060568689"
"Decision.Tree","0.215255332902392","3.17401600960494e-25","0.142321779239165"
"Gradient.Boosting","0.317388493859082","2.96553629814552e-91","0.255350241997314"
"kNN","0.376212023270847","1.97830258202023e-144","0.323297551803589"
"Naive.Bayes","0.0245636716224952","1","0.0176264955441401"
"Random.Forest","0.581124757595346","0","0.54566792918363"
"Support.Vector.Machine","0.317388493859082","2.96553629814552e-91","0.253299204680501"
