"Classes","Logistic.Regression","Classification.with.Bagging","Decision.Tree","Gradient.Boosting","kNN","Naive.Bayes","Random.Forest","Support.Vector.Machine"
"AAA",0,0.578947368421053,0,0.250000000000001,0.384615384615385,0.0575221238938053,0.624999999999998,0.250000000000004
"AA+",0,0.916666666666663,0,0.750000000000002,0.533333333333334,0.0268456375838926,0.857142857142862,0.666666666666669
"AA",0,0.615384615384617,0,0.200000000000001,0.371428571428571,0,0.605263157894738,0
"AA-",0,0.6875,0,0.315789473684212,0.612244897959184,0.114754098360656,0.673469387755102,0.749999999999994
"A+",0.157303370786517,0.609756097560976,0.181818181818182,0.297029702970297,0.376237623762376,0,0.584269662921349,0.252631578947368
"A",0.217142857142857,0.598901098901099,0,0.300518134715026,0.376811594202899,0,0.577142857142857,0.279279279279279
"A-",0.204819277108434,0.656934306569343,0,0.336448598130841,0.455882352941177,0,0.62043795620438,0.246666666666667
"BBB+",0.336842105263158,0.548192771084337,0.221183800623053,0.290322580645161,0.335227272727273,0,0.516483516483517,0.341772151898734
"BBB",0.234920634920635,0.551020408163265,0.230434782608696,0.311538461538462,0.421621621621622,0,0.580645161290323,0.318518518518519
"BBB-",0.253968253968254,0.679389312977099,0,0.36936936936937,0.4,0,0.714285714285714,0.414141414141414
"BB+",0.290816326530612,0.680327868852459,0.253521126760563,0.413265306122449,0.405940594059406,0,0.661016949152543,0.385964912280702
"BB",0.216981132075472,0.466019417475728,0,0.24390243902439,0.313131313131313,0,0.458715596330275,0.120481927710843
"BB-",0.225,0.50561797752809,0,0.3,0.315068493150685,0,0.476744186046512,0.209523809523809
"B+",0.3125,0.586666666666667,0,0.333333333333333,0.386666666666667,1,0.55,0.373626373626374
"B",0.38888888888889,0.382978723404255,0,0.205128205128205,0.235294117647058,0.50000000000002,0.425531914893617,0.333333333333334
"B-",0,0.413793103448276,0.133333333333333,0.15,0.227272727272727,0,0.442307692307692,0.413793103448276
"CCC+",0.181818181818182,0.565217391304346,0,0.399999999999995,0.55,0,0.499999999999999,0.66666666666665
"CCC",0.111111111111111,0.615384615384612,0,0.266666666666666,0.375000000000001,0,0.64285714285714,0.833333333333327
"CCC-",0,0,0,0,0,0.00285714285714286,0,0
"CC",0,0,0,0,0,0.010989010989011,0,0
"C",0,1,0,0,0.666666666666656,0.00573065902578797,1,0
